timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1667623343368,1132,Request1,200,OK,Thread Group 1-2,text,true,,18174,230,10,10,https://www.google.com/,325,0,0
1667623343368,326,Request1-0,301,Moved Permanently,Thread Group 1-2,text,true,,703,113,10,10,https://google.com/,325,0,0
1667623343694,806,Request1-1,200,OK,Thread Group 1-2,text,true,,17471,117,10,10,https://www.google.com/,795,0,0
1667623343781,831,Request1,200,OK,Thread Group 1-1,text,true,,18145,230,10,10,https://www.google.com/,327,0,0
1667623343781,327,Request1-0,301,Moved Permanently,Thread Group 1-1,text,true,,703,113,10,10,https://google.com/,327,0,0
1667623344108,504,Request1-1,200,OK,Thread Group 1-1,text,true,,17442,117,10,10,https://www.google.com/,500,0,0
1667623343645,1218,Request1,200,OK,Thread Group 1-7,text,true,,18193,230,10,10,https://www.google.com/,700,0,0
1667623343645,700,Request1-0,301,Moved Permanently,Thread Group 1-7,text,true,,703,113,10,10,https://google.com/,700,0,0
1667623344345,518,Request1-1,200,OK,Thread Group 1-7,text,true,,17490,117,10,10,https://www.google.com/,504,0,0
1667623344287,841,Request1,200,OK,Thread Group 1-3,text,true,,18172,230,10,10,https://www.google.com/,327,0,0
1667623344287,327,Request1-0,301,Moved Permanently,Thread Group 1-3,text,true,,703,113,10,10,https://google.com/,327,0,0
1667623344614,514,Request1-1,200,OK,Thread Group 1-3,text,true,,17469,117,10,10,https://www.google.com/,501,0,0
1667623344301,833,Request1,200,OK,Thread Group 1-6,text,true,,18219,230,10,10,https://www.google.com/,326,0,0
1667623344301,326,Request1-0,301,Moved Permanently,Thread Group 1-6,text,true,,703,113,10,10,https://google.com/,326,0,0
1667623344627,507,Request1-1,200,OK,Thread Group 1-6,text,true,,17516,117,10,10,https://www.google.com/,496,0,0
1667623343642,1561,Request1,200,OK,Thread Group 1-10,text,true,,18148,230,10,10,https://www.google.com/,1049,0,0
1667623343642,1049,Request1-0,301,Moved Permanently,Thread Group 1-10,text,true,,703,113,10,10,https://google.com/,1049,0,0
1667623344691,512,Request1-1,200,OK,Thread Group 1-10,text,true,,17445,117,10,10,https://www.google.com/,502,0,0
1667623343608,1662,Request1,200,OK,Thread Group 1-4,text,true,,18225,230,10,10,https://www.google.com/,1014,0,0
1667623343608,1014,Request1-0,301,Moved Permanently,Thread Group 1-4,text,true,,703,113,10,10,https://google.com/,1014,0,0
1667623344622,648,Request1-1,200,OK,Thread Group 1-4,text,true,,17522,117,10,10,https://www.google.com/,643,0,0
1667623344500,848,Request1,200,OK,Thread Group 1-2,text,true,,18246,230,10,10,https://www.google.com/,324,0,0
1667623344500,324,Request1-0,301,Moved Permanently,Thread Group 1-2,text,true,,703,113,10,10,https://google.com/,324,0,0
